Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
H3,1,PS1,1,PS1-Rep1,PS1-1-1-H3,H,3,FENPROPATHRIN,31223-250MG,555028,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,"Danitol, Meothrin, Tame",Pyrethroid,Insecticide,,60,43.15673221
H4,1,PS1,1,PS1-Rep1,PS1-1-1-H4,H,4,METRIBUZIN,36165-100MG,555443,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,107,47.46335365
H5,1,PS1,1,PS1-Rep1,PS1-1-1-H5,H,5,MESOTRION,33855-100MG-R,555273,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,"Callisto, Tenacity",,Herbicide,,99,48.34695412
H6,1,PS1,1,PS1-Rep1,PS1-1-1-H6,H,6,IMAZALIL,32007-100MG,420997,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,"Freshgard, Fungaflor, and Nuzone",,Fungicide,,83,43.08538265
H7,1,PS1,1,PS1-Rep1,PS1-1-1-H7,H,7,DIMETHOMORPH (MIXTURE OF E AND Z ISOMERS),46027-100MG,555863,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,Mildew and Root Rot,165,45.1558457
H8,1,PS1,1,PS1-Rep1,PS1-1-1-H8,H,8,FLUPYRADIFURONE,37050-100MG,555570,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Butenolide,Insecticide,,73,46.45354565
H9,1,PS1,1,PS1-Rep1,PS1-1-1-H9,H,9,OXYFLUORFEN,35031-100MG,555377,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,"Goal, Galigan",,Herbicide,Broadleaf and grassy weeds,113,45.79179336
A1,1,PS2,1,PS2-Rep1,PS2-1-1-A1,A,1,IPRODION,36132-100MG,555420,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Hydantoin,Multi-target,"Fungicide, nematicide",88,37.16368848
A10,1,PS2,1,PS2-Rep1,PS2-1-1-A10,A,10,DIMETHOATE,45449-100MG,555694,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,preparation B-58,Organophosphate,"Insecticide, Acaricide",,49,43.39853407
A11,1,PS2,1,PS2-Rep1,PS2-1-1-A11,A,11,IMAZAMOX,34227-100MG,555327,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,84,42.70565131
A12,1,PS2,1,PS2-Rep1,PS2-1-1-A12,A,12,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,40.02509097
A2,1,PS2,1,PS2-Rep1,PS2-1-1-A2,A,2,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,40.86671977
A3,1,PS2,1,PS2-Rep1,PS2-1-1-A3,A,3,MANCOZEB,45553-100MG,555993,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Dithiocarbamate,Fungicide,,96,43.93728361
A4,1,PS2,1,PS2-Rep1,PS2-1-1-A4,A,4,FIPRONIL,46451-100MG,473525,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Phenylpyrazole,Insecticide,,63,41.97447571
A5,1,PS2,1,PS2-Rep1,PS2-1-1-A5,A,5,METHOMYL,36159-100MG,555438,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Carbamate,Insecticide,,104,42.49151781
A6,1,PS2,1,PS2-Rep1,PS2-1-1-A6,A,6,ATRAZINE,45330-250MG-R,555626,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazine,Herbicide,Broadleaf and grassy weeds,11,42.12626639
A7,1,PS2,1,PS2-Rep1,PS2-1-1-A7,A,7,PROPANIL,45639-250MG,555777,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,127,37.43108766
A8,1,PS2,1,PS2-Rep1,PS2-1-1-A8,A,8,CHLORMEQUAT CHLORIDE,45387-250MG,555987,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Plant Growth Regulator,Adjuvant for herbicides by retarding their oxidative disposal by plants,156,42.65442477
A9,1,PS2,1,PS2-Rep1,PS2-1-1-A9,A,9,CYANTRANILIPROLE,32372-25MG,555122,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Ryanoid,Insecticide,,36,42.74527341
B1,1,PS2,1,PS2-Rep1,PS2-1-1-B1,B,1,SULFUR,36576-250MG,555503,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Multi-target,"Insecticide, fungicide and rodenticide ",142,41.02227908
B10,1,PS2,1,PS2-Rep1,PS2-1-1-B10,B,10,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,48.50735899
B11,1,PS2,1,PS2-Rep1,PS2-1-1-B11,B,11,EPOXICONAZOLE,36848-100MG,555553,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Azole,Fungicide,,53,42.31817584
B12,1,PS2,1,PS2-Rep1,PS2-1-1-B12,B,12,PROPAMOCARB,45638-250MG,555776,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Fungicide,Oomycetes,126,42.69456103
